video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OVBL1mCSPMY&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@ActiveTowns,Active Towns,Visiting Charlotte's Bicycle-Oriented Development Sites,1.3K,2 years,"In this finale of the #CNU31 BODs (Bicycle Oriented Development) Tour in Charlotte, NC, we explore several development sites ...",14:44.5
/watch?v=JSa31h-v4d4&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@UrbanPlannerExplained,Urban Planner Explained,Every WORST Designed City Explained in 9 Minutes,1.1M,3 months,"Have you ever walked through a city and thought, ""Who on earth designed this mess?"" Or wondered why some places seem ...",14:44.5
/watch?v=gARgOZh7HEo&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@advisorSirAshley,Real Estate Advisor Sir Ashley | Charlotte Area ,Charlotte vs. Atlanta: Which City Wins in 2025? 🏙️,3K,10 months,Charlotte vs. Atlanta: Which City Wins in 2025? 🏙️ http://www.SirAshley.com Interested in Buying a Home? go here: ...,14:44.5
/watch?v=l5MwHHEEa5Y&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@WCNC,WCNC,Charlotte grassroots organization installing benches at bus stops,1.1K,3 years,One Charlotte grassroots organization is trying to ease the load on public transit riders. Charlotte Urbanists is working to add ...,14:44.5
/watch?v=sOaXfc9MuKc&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CityBeautiful,City Beautiful,What is New Urbanism?,407K,6 years,Watch over 2400 documentaries with Curiosity Stream for free for a month by signing up at http://CuriosityStream.com/citybeautiful ...,14:44.5
/watch?v=4-WcOapa5aU&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@cooperunion,The Cooper Union,03.03.22 Student Lecture Series | Charlotte Malterre-Barthes: Manoeuvring Boundaries,933,3 years,"Charlotte Malterre-Barthes is assistant professor of urban design at Harvard Graduate School of Design. Architect, urban designer ...",14:44.5
/watch?v=HwwCb9ovXN4&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@OhTheUrbanity,Oh The Urbanity!,The Urbanist Myth That Just Won’t Die,179K,2 years,This is the urbanist myth that just won't die: the one very mistaken idea about housing and density held by a lot of well-meaning ...,14:44.5
/watch?v=F6B3tX2QwbQ&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@ActiveTowns,Active Towns,CNU.Charlotte BODs Bike Tour ~ Part One,686,2 years,"Beyond a TOD (Transit Oriented Development), there is a BOD (Bicycle Oriented Development), and we got to tour a few on ...",14:44.5
/watch?v=dOhF3cvL5Yg&t=213s&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@UrbanPlannerExplained,Urban Planner Explained,Every WORST Designed City Explained in 9 Minutes (Part2),71K,2 months,"You asked for more, so we're back. Did you think we had found all the world's planning disasters? Not even close. In this video, as ...",14:44.5
/shorts/dFPa7BqDr8s,/@Lukewarm_Flapjack,Lukewarm Flapjack,5 Things I Wish I Knew About Urban Planning,1.9K,4 months,urbanplanning #urbanism #cityplanning #planning.,14:44.5
/watch?v=6JZRRiSzZ_Q&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CanopyREALTORAssociation,Canopy REALTOR Association,Form-Based Zoning - The Right Choice for Charlotte?,91,11 years,"Watch a community conversation on form-based zoning, exploring what works (and what often doesn't) when cities zone for ...",14:44.5
/watch?v=NoollbCIgLY&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CharlotteGOVchannel,City of Charlotte,2021 Charlotte Urban Design Awards,321,4 years,The City of Charlotte Urban Design Center and the University of North Carolina at Charlotte School of Architecture presented the ...,14:44.5
/watch?v=wrVRE7QEC34&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt0gcJCU8KAYcqIYzv,/@amandalanata,Amanda Lanata,Charlotte CNU/Strong Towns experience by Amanda Lanata,14,2 years,"Initial thoughts and reactions to Charlotte, NC! We visited in May 2023 to attend the Strong Towns National Gathering and ...",14:44.5
/shorts/yh9pEg6_KGw,/@grant-taleck,Grant Taleck,"Camp North End in Charlotte, NC",520,2 years,"Recently I met Tesho Akindele at Camp North End in Charlotte, NC. He walked me through these massive Industrial Buildings that ...",14:44.5
/watch?v=GzA5e9O9Lxc&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@clt_coaa,UNC Charlotte College of Arts + Architecture,2024 SoA Lecture: Gabriela Rendon,68,2 years,architecture.charlotte.edu Gabriela Rendón is an Associate Professor of Urban Planning and Community Development and ...,14:51.6
/watch?v=1xvP3lIFqUE&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@urbanistplatform,Urbanist Platform,Have you met Charlotte? | Urban Planner | URBANIST PLATFORM,344,6 years,"We sit down for an up close and personal interview with Urban Planner, Charlotte Morphet. Professionally, Charlotte is an Urban ...",14:51.6
/watch?v=p7bjHBoP7A8&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@Congress4NewUrbanism,Congress for the New Urbanism,Urbanism and faith communities,467,2 years,"Discussion of building urbanism on sites related to houses of worship in cities and towns. Representatives of projects in Charlotte, ...",14:51.6
